contig00193	14496	24.46
contig00194	14430	24.43
contig00195	14398	24.09
contig00196	14397	25.26
contig00197	14400	28.12
contig00198	14373	30.26
contig00199	14356	25.08
contig00200	14352	26.80
contig00201	14351	25.38
contig00202	14334	26.55
contig00203	14297	26.52
contig00204	14277	28.16
contig00205	14274	26.65
contig00206	14185	28.43
contig00207	14196	26.54
contig00208	14143	28.88
contig00209	14141	27.94
contig00210	14101	25.58
contig00211	14082	29.58
contig00212	14088	23.72
contig00213	14070	24.73
contig00214	14019	23.20
contig00215	14007	24.24
contig00216	14002	24.65
contig00217	14013	23.74
contig00218	13989	27.48
contig00219	13979	26.37
contig00220	13960	23.85
contig00221	13912	27.85
contig00222	13876	23.57
contig00223	13886	24.43
contig00224	13847	25.06
contig00225	13838	24.86
contig00226	13791	24.78
contig00227	13795	23.90
contig00228	13740	26.19
contig00229	13728	30.10
contig00230	13695	26.89
contig00231	13680	25.97
contig00232	13664	27.01
contig00233	13674	23.99
contig00234	13650	25.98
contig00235	13645	25.72
contig00236	13577	26.70
contig00237	13572	28.14
contig00238	13541	26.39
contig00239	13507	27.12
contig00240	13481	22.50
contig00241	13481	26.43
contig00242	13466	30.90
contig00243	13465	25.04
contig00244	13461	26.82
contig00245	13424	26.04
contig00246	13422	26.37
contig00247	13420	26.06
contig00248	13404	26.50
contig00249	13393	32.27
contig00250	13383	24.09
contig00251	13369	29.58
contig00252	13367	26.21
contig00253	13351	27.61
contig00254	13336	25.08
contig00255	13256	24.40
contig00256	13155	26.73
contig00257	13153	25.36
contig00258	13131	24.08
contig00259	13119	24.13
contig00260	13112	27.22
contig00261	13082	25.21
contig00262	13079	28.97
contig00263	13076	23.52
contig00264	13032	25.66
contig00265	13017	26.23
contig00266	13017	24.65
contig00267	13000	25.86
contig00268	12974	26.55
contig00269	12941	26.54
contig00270	12934	29.27
contig00271	12929	24.53
contig00272	12876	23.89
contig00273	12854	26.43
contig00274	12837	25.78
contig00275	12798	25.89
contig00276	12784	23.72
contig00277	12762	27.46
contig00278	12738	29.97
